canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://capecodfive.com,capecodfive.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cardpointers.com,cardpointers.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://caremark.com,caremark.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://carnival.com,carnival.com,,1,0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://carta.com,carta.com,,1,0,community|community:passkeys-directory.dashlane.com
https://carvel.li,carvel.li,,1,0,community
https://cavemanon.xyz,cavemanon.xyz,,1,0,community
https://cdm-project.com,cdm-project.com,,1,0,community
https://chekspend.com,chekspend.com,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://citi.com,citi.com,,1,0,community|community:fidoalliance.org|community:passkeyindex.io
https://citrix.com,citrix.com,,1,0,community|community:fidoalliance.org|community:hideez.com|community:passkeyindex.io
https://classlink.com,classlink.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://clemson.edu,clemson.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://cloud66.com,cloud66.com,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://cloudflare.com,cloudflare.com,,1,0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://cloze.com,cloze.com,,1,0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cmu.edu,cmu.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://coca.xyz,coca.xyz,,1,0,community
https://codeberg.org,codeberg.org,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
https://codere.mx,codere.mx,,6,1,community|webauthn|webauthn-related
https://coinbase.com,coinbase.com,https://accounts.coinbase.com/security/settings,2,1,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints
https://colisexpat.com,colisexpat.com,,1,0,community
https://colorado.edu,colorado.edu,,1,0,community|community:2fa.directory
https://columbia.edu,columbia.edu,,1,0,community|community:2fa.directory
https://commercebank.com,commercebank.com,,1,0,community
https://computerbase.de,computerbase.de,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://connectabil.com,connectabil.com,,1,0,community
https://coolaj86.com,coolaj86.com,,1,0,community
https://coom.tech,coom.tech,,1,0,community
https://corbado.com,corbado.com,,1,0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory
https://corelab.com,corelab.com,,1,0,community
https://cornell.edu,cornell.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://costco.ca,costco.ca,,1,0,community|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.directory
https://coveto.de,coveto.de,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://cpoms.co.uk,cpoms.co.uk,,1,0,community|community:2fa.directory
https://cpp.edu,cpp.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory
