canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://yandex.com,yandex.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://microsoft.com,microsoft.com,,,,manually added,1000,top 1k
https://www.airbnb.com,airbnb.com,,150.0,1.0,webauthn|webauthn-related,5000,top 5k
https://ticketmaster.com,ticketmaster.com,,29.0,1.0,community|community:passkeys.2fa.directory|community:passkeys.directory|webauthn|webauthn-related,5000,top 5k
https://www.yelp.com,yelp.com,,27.0,1.0,webauthn|webauthn-related,5000,top 5k
https://intuit.com,intuit.com,https://accounts.intuit.com/app/account-manager/security/passkey,5.0,1.0,community|community:passkeys-directory.dashlane.com|endpoints|webauthn|webauthn-related,5000,top 5k
https://online.nomura.co.jp,nomura.co.jp,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.gmx.net,gmx.net,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.web.de,web.de,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.mercadopago.com.ar,mercadopago.com.ar,,4.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.mercadopago.com.br,mercadopago.com.br,,4.0,1.0,webauthn|webauthn-related,5000,top 5k
https://dropbox.com,dropbox.com,https://www.dropbox.com/account/security,3.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.directory|endpoints,5000,top 5k
https://sso.tbank.ru,tbank.ru,,3.0,1.0,webauthn|webauthn-related,5000,top 5k
https://docusign.com,docusign.com,https://account.docusign.com/me/privacy-security,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://mercari.com,mercari.com,https://jp.mercari.com/mypage/personal_info/passkeys,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://moneyforward.com,moneyforward.com,https://id.moneyforward.com/webauthn/credentials,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://openai.com,openai.com,,2.0,1.0,community|community:passkeys.directory|webauthn|webauthn-related,5000,top 5k
https://www.betclic.ci,betclic.ci,,2.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.ebay.ca,ebay.ca,https://accounts.ebay.ca/acctsec/manage/passkeys/create,2.0,1.0,endpoints,5000,top 5k
https://www.ebay.com.au,ebay.com.au,https://accounts.ebay.com.au/acctsec/manage/passkeys/create,1.0,1.0,endpoints,5000,top 5k
https://www.ebay.fr,ebay.fr,https://accounts.ebay.fr/acctsec/manage/passkeys/create,1.0,1.0,endpoints,5000,top 5k
https://nvidia.com,nvidia.com,,2.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
https://uber.com,uber.com,,2.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,5000,top 5k
